city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Floriano,2203909,9801,16328.19658,2022-03-25,0.0184,180,60025.0,59935.0,False,702,city,PI
Francinópolis,2204006,76,1421.35777,2022-03-25,0.0789,6,5347.0,5348.0,False,704,city,PI
Francisco Ayres,2204105,436,10085.58871,2022-03-25,0.0161,7,4323.0,4348.0,False,691,city,PI
Francisco Macedo,2204154,501,15656.25,2022-03-25,0.012,6,3200.0,3184.0,False,609,city,PI
Francisco Santos,2204204,692,7383.69612,2022-03-25,0.0116,8,9372.0,9319.0,False,688,city,PI
Fronteiras,2204303,1091,9357.57784,2022-03-25,0.0101,11,11659.0,11625.0,False,683,city,PI
Geminiano,2204352,517,9468.86447,2022-03-25,0.0116,6,5460.0,5442.0,False,641,city,PI
Gilbués,2204402,908,8490.74247,2022-03-25,0.0077,7,10694.0,10690.0,False,666,city,PI
Guadalupe,2204501,1474,14042.10727,2022-03-25,0.019,28,10497.0,10499.0,False,665,city,PI
Guaribas,2204550,108,2364.2732,2022-03-25,0.0185,2,4568.0,4562.0,False,621,city,PI
Hugo Napoleão,2204600,811,20907.45037,2022-03-25,0.0111,9,3879.0,3877.0,False,672,city,PI
Ilha Grande,2204659,1292,13661.83779,2022-03-25,0.0163,21,9457.0,9426.0,False,697,city,PI
Inhuma,2204709,1778,11606.50173,2022-03-25,0.0157,28,15319.0,15308.0,False,705,city,PI
Ipiranga do Piauí,2204808,846,8599.3088,2022-03-25,0.0225,19,9838.0,9811.0,False,683,city,PI
Isaías Coelho,2204907,914,10670.09106,2022-03-25,0.0098,9,8566.0,8549.0,False,663,city,PI
Itainópolis,2205003,1393,12059.56194,2022-03-25,0.0093,13,11551.0,11530.0,False,667,city,PI
Itaueira,2205102,206,1867.97243,2022-03-25,0.1311,27,11028.0,11019.0,False,701,city,PI
Jacobina do Piauí,2205151,402,7016.9314,2022-03-25,0.01,4,5729.0,5741.0,False,633,city,PI
Jaicós,2205201,2513,13109.02452,2022-03-25,0.0167,42,19170.0,19104.0,False,672,city,PI
Jardim do Mulato,2205250,278,6159.98227,2022-03-25,0.0144,4,4513.0,4504.0,False,592,city,PI
Jatobá do Piauí,2205276,385,7897.4359,2022-03-25,0.026,10,4875.0,4865.0,False,653,city,PI
Jerumenha,2205300,211,4744.77176,2022-03-25,0.0332,7,4447.0,4452.0,False,658,city,PI
João Costa,2205359,319,10615.6406,2022-03-25,0.0125,4,3005.0,3008.0,False,596,city,PI
Joaquim Pires,2205409,1682,11700.05565,2022-03-25,0.019,32,14376.0,14354.0,False,671,city,PI
Joca Marques,2205458,613,11214.78229,2022-03-25,0.0131,8,5466.0,5443.0,False,644,city,PI
José de Freitas,2205508,6718,17078.50315,2022-03-25,0.0131,88,39336.0,39208.0,False,697,city,PI
Juazeiro do Piauí,2205516,532,9699.17958,2022-03-25,0.0075,4,5485.0,5478.0,False,672,city,PI
Júlio Borges,2205524,150,2659.57447,2022-03-25,0.1,15,5640.0,5627.0,False,689,city,PI
Jurema,2205532,307,6426.62759,2022-03-25,0.0228,7,4777.0,4763.0,False,631,city,PI
Lagoa Alegre,2205557,374,4360.49901,2022-03-25,0.0348,13,8577.0,8542.0,False,643,city,PI
Lagoa de São Francisco,2205573,605,8927.25395,2022-03-25,0.0066,4,6777.0,6758.0,False,661,city,PI
Lagoa do Barro do Piauí,2205565,1065,22873.71134,2022-03-25,0.0085,9,4656.0,4655.0,False,702,city,PI
Lagoa do Piauí,2205581,1057,25938.65031,2022-03-25,0.0057,6,4075.0,4064.0,False,678,city,PI
Lagoa do Sítio,2205599,97,1866.10235,2022-03-25,0.134,13,5198.0,5177.0,False,675,city,PI
Lagoinha do Piauí,2205540,395,13820.85374,2022-03-25,0.0228,9,2858.0,2845.0,False,655,city,PI
Landri Sales,2205607,1211,22922.58187,2022-03-25,0.019,23,5283.0,5295.0,False,676,city,PI
Luís Correia,2205706,2148,7056.96826,2022-03-25,0.0307,66,30438.0,30311.0,False,704,city,PI
Luzilândia,2205805,2755,10802.2271,2022-03-25,0.0221,61,25504.0,25486.0,False,698,city,PI
Madeiro,2205854,412,4938.86358,2022-03-25,0.0146,6,8342.0,8310.0,False,667,city,PI
Manoel Emídio,2205904,504,9418.80022,2022-03-25,0.0377,19,5351.0,5349.0,False,697,city,PI
Marcolândia,2205953,993,11623.55145,2022-03-25,0.0211,21,8543.0,8492.0,False,681,city,PI
Marcos Parente,2206001,396,8709.03893,2022-03-25,0.0227,9,4547.0,4549.0,False,687,city,PI
Massapê do Piauí,2206050,344,5334.16033,2022-03-25,0.0087,3,6449.0,6441.0,False,644,city,PI
Matias Olímpio,2206100,728,6643.54809,2022-03-25,0.0192,14,10958.0,10936.0,False,678,city,PI
Miguel Alves,2206209,2294,6780.36237,2022-03-25,0.0166,38,33833.0,33760.0,False,701,city,PI
Miguel Leão,2206308,289,23268.9211,2022-03-25,0.0104,3,1242.0,1246.0,False,636,city,PI
Milton Brandão,2206357,322,4872.88136,2022-03-25,0.0093,3,6608.0,6613.0,False,665,city,PI
Monsenhor Gil,2206407,1819,17218.85649,2022-03-25,0.0242,44,10564.0,10564.0,False,694,city,PI
Monsenhor Hipólito,2206506,786,10119.73735,2022-03-25,0.0076,6,7767.0,7749.0,False,689,city,PI
Monte Alegre do Piauí,2206605,1192,11229.39237,2022-03-25,0.0159,19,10615.0,10613.0,False,650,city,PI
Morro Cabeça no Tempo,2206654,166,3664.45916,2022-03-25,0.0241,4,4530.0,4532.0,False,693,city,PI
Morro do Chapéu do Piauí,2206670,1147,16840.40523,2022-03-25,0.0061,7,6811.0,6796.0,False,682,city,PI
Murici dos Portelas,2206696,330,3583.45097,2022-03-25,0.0333,11,9209.0,9159.0,False,645,city,PI
Nazaré do Piauí,2206704,455,6214.14914,2022-03-25,0.033,15,7322.0,7339.0,False,698,city,PI
Nazária,2206720,454,5277.84236,2022-03-25,0.0419,19,8602.0,8570.0,False,700,city,PI
Nossa Senhora de Nazaré,2206753,596,12185.64711,2022-03-25,0.0319,19,4891.0,4870.0,False,647,city,PI
Nossa Senhora dos Remédios,2206803,947,10856.35676,2022-03-25,0.0169,16,8723.0,8692.0,False,672,city,PI
Nova Santa Rita,2207959,151,3445.12891,2022-03-25,0.0265,4,4383.0,4374.0,False,673,city,PI
Novo Oriente do Piauí,2206902,426,6497.86455,2022-03-25,0.0305,13,6556.0,6565.0,False,640,city,PI
Novo Santo Antônio,2206951,281,9357.30936,2022-03-25,0.0178,5,3003.0,2991.0,False,668,city,PI
Oeiras,2207009,6021,16235.6748,2022-03-25,0.0151,91,37085.0,37029.0,False,696,city,PI
Olho D'Água do Piauí,2207108,291,11790.92382,2022-03-25,0.0103,3,2468.0,2459.0,False,673,city,PI
Padre Marcos,2207207,529,7696.78452,2022-03-25,0.017,9,6873.0,6868.0,False,671,city,PI
Paes Landim,2207306,240,5816.77169,2022-03-25,0.0333,8,4126.0,4129.0,False,650,city,PI
Pajeú do Piauí,2207355,104,3055.22914,2022-03-25,0.0865,9,3404.0,3389.0,False,641,city,PI
Palmeira do Piauí,2207405,237,4706.11597,2022-03-25,0.0253,6,5036.0,5043.0,False,649,city,PI
Palmeirais,2207504,332,2275.99918,2022-03-25,0.0723,24,14587.0,14539.0,False,693,city,PI
Paquetá,2207553,196,4978.40996,2022-03-25,0.0459,9,3937.0,3945.0,False,630,city,PI
